,FEB23_02,FEB23_06,FEB23_07,FEB23_10,FEB23_80,FEB23_81,FEB23_132,FEB23_146,FEB23_169,FEB23_193,FEB23_224,FEB23_226,FEB23_242,FEB23_303,FEB23_307,FEB23_311,FEB23_385,FEB23_411,FEB23_502,FEB23_570,FEB23_577,FEB23_597,JB005,JB044,JB073,JB081,JB103,JB152,JB158,JB160,JB188,FEB23_95,FEB23_467
FEB23_02,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0
FEB23_06,0,150,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_07,0,1,150,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_10,0,0,0,150,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0
FEB23_80,0,0,0,1,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_81,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
FEB23_132,0,0,0,0,0,0,150,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
FEB23_146,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_169,0,2,1,1,0,0,2,0,150,0,0,0,4,0,0,0,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0
FEB23_193,0,0,0,2,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_224,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FEB23_226,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_242,0,1,0,0,0,0,0,0,4,0,0,0,150,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_303,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
FEB23_311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0
FEB23_385,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,150,0,0,0,0,0,1,0,0,13,0,0,0,143,4,0,0
FEB23_411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
FEB23_502,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,150,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FEB23_570,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,150,0,1,0,0,0,0,0,0,0,0,0,0,0
FEB23_577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,150,4,0,0,0,0,0,0,0,0,0,0,0
FEB23_597,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,1,4,150,0,0,0,0,0,0,0,0,0,0,0
JB005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,150,0,0,0,0,0,0,5,0,0,0
JB044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,4,0,0,0,0
JB073,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
JB081,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,150,0,0,0,18,6,0,0
JB103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
JB152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
JB158,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,150,0,0,0,0
JB160,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,143,6,0,0,0,0,5,0,0,18,0,0,0,150,5,0,0
JB188,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,6,0,0,0,5,150,0,0
FEB23_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
FEB23_467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
