,FEB23_02,FEB23_06,FEB23_07,FEB23_10,FEB23_80,FEB23_81,FEB23_132,FEB23_169,FEB23_224,FEB23_242,FEB23_303,FEB23_307,FEB23_311,FEB23_385,FEB23_502,FEB23_570,FEB23_577,FEB23_597,JB005,JB073,JB081,JB103,JB158,JB160,JB188,FEB23_95,FEB23_467
FEB23_02,100,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,10,0,0,0,0,1.51,0,0
FEB23_06,0,100,0.92,0,0,0,0,1.8,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_07,0,0.92,100,0,0,0,0,0.64,0,0,0,0,0.68,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_10,0,0,0,100,0.34,0,0,0.51,0,0,0,0,0,0.38,0.65,0,0,0,0,0,0.36,0,0,0.57,0,0,0
FEB23_80,0,0,0,0.34,100,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_81,0,0,0,0,0.44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.81,0,0
FEB23_132,0,0,0,0,0,0,100,0.93,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,1.86,0,0,0,0
FEB23_169,0,1.8,0.64,0.51,0,0,0.93,100,0,3.17,0,0,0,0,4.38,1.66,0,2.27,0,0,0,0,0,0,0,0,0
FEB23_224,0,0,0,0,0,0,0,0,100,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.21,0,0,0
FEB23_242,0,1.21,0,0,0,0,0,3.17,0,100,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0
FEB23_303,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEB23_307,0.93,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0
FEB23_311,0,0,0.68,0,0,0,0,0,0,0,0,0,100,0,0,0,18.47,0.33,0,0,0,0,0,0,0,0,0
FEB23_385,0,0,0,0.38,0,0,0,0,0.5,0,0,0,0,100,0,0,0,0,0.33,0,0.32,0,0,34.37,1.86,0,0
FEB23_502,0,0,0.87,0.65,0,0,0.57,4.38,0,0,0,0,0,0,100,1.25,0,0.37,0,0,0,0,0,0,0,0,0
FEB23_570,0,0,0,0,0,0,0,1.66,0,5.75,0,0,0,0,1.25,100,0,0.36,0,0,0,0,0,0,0,0,0
FEB23_577,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,100,1.15,0,0,0,0,0,0,0,0,0
FEB23_597,0,0,0,0,0,0,0,2.27,0,0,0,0,0.33,0,0.37,0.36,1.15,100,0,0,0,0,0,0,0,0,0
JB005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,100,0,0,0,0,0.89,0,0,0
JB073,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
JB081,0,0,0,0.36,0,0.47,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,100,0,0,3.24,2.63,0,0
JB103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
JB158,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
JB160,0,0,0,0.57,0,0,0,0,0.21,0,0,0,0,34.37,0,0,0,0,0.89,0,3.24,0,0,100,1.04,0,0
JB188,1.51,0,0,0,0,0.81,0,0,0,0,0,4.42,0,1.86,0,0,0,0,0,0,2.63,0,0,1.04,100,0,0
FEB23_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
FEB23_467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
